,RIDE_ID,started_on,completed_on,start_location_long,start_location_lat,distance_travelled,end_location_lat,end_location_long,active_driver_id,rider_id,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driving_time_to_rider,driver_id,car_id,make,model,year,start_date
1421995,1421995,2017-04-05 00:18:32+00:00,2017-04-05 00:24:58+00:00,-97.733,30.264,2093.0,30.263,-97.715,652329,128381,1.5,6.46,0.99,0.25,1.61,115.0,3622,3622,b'Toyota',b'Camry Hybrid',b'2008',2017-04-05
1421996,1421996,2017-04-05 00:18:36+00:00,2017-04-05 00:27:46+00:00,-97.726,30.289,5214.0,30.267,-97.749,652110,14,1.5,9.09,0.99,0.25,2.29,223.0,4233,4233,b'Toyota',b'Venza',b'2011',2017-04-05
1421997,1421997,2017-04-05 00:18:40+00:00,2017-04-05 00:27:18+00:00,-97.739,30.263,3846.0,30.254,-97.762,652374,252211,1.5,8.11,0.99,0.25,2.16,209.0,3411,3411,b'Hyundai',b'Sonata',b'2012',2017-04-05
1421998,1421998,2017-04-05 00:18:48+00:00,2017-04-05 00:34:37+00:00,-97.811,30.212,13711.0,30.261,-97.738,652072,3339,1.5,16.05,0.99,0.25,3.96,273.0,1310,1310,b'GMC',b'Terrain',b'2017',2017-04-05
1421999,1421999,2017-04-05 00:18:50+00:00,2017-04-05 00:47:00+00:00,-97.668,30.203,35139.0,30.403,-97.645,652375,46205,1.5,32.49,0.99,0.25,7.05,346.0,3307,3307,b'Nissan',b'Sentra',b'2011',2017-04-05
1422000,1422000,2017-04-05 00:18:52+00:00,2017-04-05 00:23:51+00:00,-97.715,30.264,2264.0,30.27,-97.736,652376,40508,1.5,6.2,0.99,0.25,1.25,211.0,4479,4479,b'Mitsubishi',b'Outlander',b'2015',2017-04-05
1422001,1422001,2017-04-05 00:18:58+00:00,2017-04-05 00:25:44+00:00,-97.761,30.273,2879.0,30.269,-97.737,652252,22577,1.5,7.03,0.99,0.25,1.69,240.0,2333,2333,b'Nissan',b'Pathfinder',b'2011',2017-04-05
1422002,1422002,2017-04-05 00:19:34+00:00,2017-04-05 00:30:52+00:00,-97.755,30.296,8105.0,30.25,-97.75,652300,241810,1.5,11.43,0.99,0.25,2.83,194.0,2175,2175,b'Nissan',b'Juke',b'2014',2017-04-05
1422003,1422003,2017-04-05 00:19:58+00:00,2017-04-05 00:25:19+00:00,-97.742,30.262,1610.0,30.259,-97.729,652346,252253,1.5,6.06,0.99,0.25,1.34,112.0,3981,3981,b'Nissan',b'Rogue',b'2009',2017-04-05
1422004,1422004,2017-04-05 00:20:11+00:00,2017-04-05 00:29:52+00:00,-97.738,30.248,3577.0,30.261,-97.758,652056,155576,1.5,8.2,0.99,0.25,2.42,198.0,659,659,b'Saturn',b'VUE',b'2008',2017-04-05
1422005,1422005,2017-04-05 00:20:17+00:00,2017-04-05 00:33:31+00:00,-97.673,30.482,12809.0,30.403,-97.722,652377,92032,1.5,14.84,0.99,0.25,3.31,345.0,3777,3777,b'Toyota',b'FJ Cruiser',b'2013',2017-04-05
1422006,1422006,2017-04-05 00:20:24+00:00,2017-04-05 00:33:48+00:00,-97.868,30.238,14973.0,30.266,-97.746,652378,187201,1.5,16.22,0.99,0.25,3.35,261.0,1398,1398,b'Toyota',b'4Runner',b'2005',2017-04-05
1422007,1422007,2017-04-05 00:20:39+00:00,2017-04-05 00:40:36+00:00,-97.788,30.378,9379.0,30.403,-97.722,652379,139997,1.5,14.4,0.99,0.25,4.99,317.0,1900,1900,b'Chevrolet',b'Traverse',b'2016',2017-04-05
1422008,1422008,2017-04-05 00:20:49+00:00,2017-04-05 00:25:58+00:00,-97.741,30.296,1902.0,30.281,-97.741,652380,250699,1.5,6.06,0.99,0.25,1.29,196.0,4117,4117,b'Cadillac',b'STS',b'2008',2017-04-05
