,DriverID,RideID,Location,Time,Date,ChargeKwhNeeded
26,2170,1424895,30.206 -97.748,15:54:18,2017-04-05,4.113319337301694
27,2170,1425235,30.272 -97.744,17:11:43,2017-04-05,4.113319337301694
28,2170,1425973,30.232 -97.759,19:46:06,2017-04-05,4.113319337301694
29,4631,1422745,30.252 -97.749,02:58:19,2017-04-05,14.665253250351554
30,3406,1422908,30.327 -97.743,03:37:48,2017-04-05,9.75719600111204
31,4152,1422278,30.324 -97.753,01:24:03,2017-04-05,7.065127283711774
32,4152,1422792,30.32 -97.684,03:04:59,2017-04-05,7.065127283711774
33,4152,1425327,30.39 -97.871,17:26:28,2017-04-05,7.065127283711774
34,4152,1425841,30.291 -97.859,19:37:16,2017-04-05,7.065127283711774
35,4033,1422101,30.311 -97.743,00:49:21,2017-04-05,3.7019831936279988
36,4033,1423020,30.254 -97.737,03:58:43,2017-04-05,3.7019831936279988
37,4033,1423273,30.203 -97.794,05:04:36,2017-04-05,3.7019831936279988
38,4033,1423493,30.24 -97.778,06:14:23,2017-04-05,3.7019831936279988
39,3767,1421977,30.264 -97.742,00:33:38,2017-04-05,6.769809857153605
40,3767,1422554,30.256 -97.739,02:22:45,2017-04-05,6.769809857153605
41,3767,1423340,30.257 -97.76,05:10:25,2017-04-05,6.769809857153605
42,3767,1424802,30.203 -97.666,15:27:07,2017-04-05,6.769809857153605
43,3767,1425943,30.276 -97.748,19:54:33,2017-04-05,6.769809857153605
44,3767,1426491,30.264 -97.742,22:20:56,2017-04-05,6.769809857153605
45,3899,1421979,30.27 -97.751,00:31:53,2017-04-05,1.1982430403786024
46,3899,1422270,30.28 -97.759,01:18:40,2017-04-05,1.1982430403786024
47,3899,1422377,30.25 -97.75,01:41:55,2017-04-05,1.1982430403786024
48,3899,1422542,30.258 -97.76,02:12:49,2017-04-05,1.1982430403786024
49,3899,1422709,30.26 -97.738,02:45:45,2017-04-05,1.1982430403786024
50,3899,1423192,30.26 -97.717,04:33:24,2017-04-05,1.1982430403786024
51,3899,1423338,30.251 -97.758,05:11:53,2017-04-05,1.1982430403786024
52,3899,1423410,30.265 -97.746,05:35:58,2017-04-05,1.1982430403786024
53,3899,1423536,30.279 -97.816,06:31:48,2017-04-05,1.1982430403786024
54,3899,1423669,30.228 -97.712,07:43:30,2017-04-05,1.1982430403786024
55,3899,1423704,30.29 -97.75,08:15:07,2017-04-05,1.1982430403786024
56,1697,1421988,30.272 -97.731,00:29:58,2017-04-05,0.7050824649658487
57,1697,1422113,30.287 -97.746,00:46:34,2017-04-05,0.7050824649658487
58,1697,1422205,30.267 -97.74,01:08:43,2017-04-05,0.7050824649658487
59,1697,1422320,30.214 -97.699,01:34:46,2017-04-05,0.7050824649658487
60,1697,1422564,30.277 -97.751,02:14:12,2017-04-05,0.7050824649658487
61,1697,1422741,30.287 -97.743,02:55:06,2017-04-05,0.7050824649658487
62,1697,1424262,30.561 -97.681,13:38:29,2017-04-05,0.7050824649658487
63,1697,1426467,30.354 -97.727,21:34:07,2017-04-05,0.7050824649658487
64,4073,1422083,30.307 -97.786,00:54:21,2017-04-05,2.373902760231182
65,4073,1422419,30.251 -97.754,01:50:14,2017-04-05,2.373902760231182
66,4073,1422667,30.218 -97.738,02:38:28,2017-04-05,2.373902760231182
67,4073,1423006,30.186 -97.92,04:00:12,2017-04-05,2.373902760231182
68,3307,1422445,30.406 -97.743,01:57:55,2017-04-05,29.638207314364806
69,3777,1422005,30.403 -97.722,00:33:31,2017-04-05,1.7625434409357368
70,1061,1423119,30.385 -97.877,04:14:07,2017-04-05,1.7625434409357368
71,444,1422013,30.296 -97.741,00:28:28,2017-04-05,2.3442122572554096
72,444,1424697,30.369 -97.721,15:02:12,2017-04-05,2.3442122572554096
73,444,1425088,30.203 -97.667,16:37:05,2017-04-05,2.3442122572554096
74,444,1426269,30.33 -97.665,21:06:47,2017-04-05,2.3442122572554096
75,444,1426698,30.287 -97.73,22:23:55,2017-04-05,2.3442122572554096
76,444,1426951,30.265 -97.748,23:00:05,2017-04-05,2.3442122572554096
77,1078,1422896,30.256 -97.736,03:20:28,2017-04-05,8.411088110724334
78,1078,1424486,30.429 -97.754,14:19:49,2017-04-05,8.411088110724334
79,1078,1424869,30.459 -97.795,15:46:00,2017-04-05,8.411088110724334
80,4278,1422895,30.245 -97.908,03:24:52,2017-04-05,5.762439236818944
81,3906,1423732,30.279 -97.695,08:46:03,2017-04-05,19.959396213150633
82,1249,1422039,30.213 -97.9,00:26:29,2017-04-05,1.3670632871272241
