,Unnamed: 0,DriverID,RideID,Location,Time,Date,latitude,longitude
256,256,3475,1423625,30.197 -97.76799999999999,07:17:43,2017-04-05,30.197,-97.76799999999999
257,257,3421,1422633,30.53 -97.816,02:43:06,2017-04-05,30.53,-97.816
258,258,3421,1422894,30.285 -97.71700000000001,03:20:32,2017-04-05,30.285,-97.71700000000001
259,259,3421,1423076,30.211 -97.75399999999999,04:07:05,2017-04-05,30.211,-97.75399999999999
260,260,3421,1423563,30.235 -97.78,06:44:32,2017-04-05,30.235,-97.78
261,261,2377,1422676,30.351999999999997 -97.779,02:48:04,2017-04-05,30.351999999999997,-97.779
262,262,3556,1423021,30.156 -97.801,03:59:01,2017-04-05,30.156,-97.801
263,263,3556,1426479,30.26 -97.738,21:36:21,2017-04-05,30.26,-97.738
264,264,3047,1422737,30.453000000000003 -97.68299999999999,02:49:53,2017-04-05,30.453000000000003,-97.68299999999999
265,265,3047,1423994,30.259 -97.678,12:25:16,2017-04-05,30.259,-97.678
266,266,3047,1424594,30.427 -97.74600000000001,14:34:52,2017-04-05,30.427,-97.74600000000001
267,267,3047,1424876,30.24 -97.788,15:52:43,2017-04-05,30.24,-97.788
268,268,2648,1422742,30.259 -97.74799999999999,02:55:50,2017-04-05,30.259,-97.74799999999999
269,269,2648,1423413,30.268 -97.741,05:33:42,2017-04-05,30.268,-97.741
270,270,2648,1423653,30.206999999999997 -97.756,07:33:40,2017-04-05,30.206999999999997,-97.756
271,271,2648,1423766,30.203000000000003 -97.667,09:53:09,2017-04-05,30.203000000000003,-97.667
272,272,2648,1423852,30.291999999999998 -97.723,10:50:57,2017-04-05,30.291999999999998,-97.723
273,273,2648,1426553,30.401999999999997 -97.706,21:48:37,2017-04-05,30.401999999999997,-97.706
274,274,1779,1422967,30.386999999999997 -97.73700000000001,03:44:58,2017-04-05,30.386999999999997,-97.73700000000001
275,275,1779,1424973,30.448 -97.804,15:58:14,2017-04-05,30.448,-97.804
276,276,2782,1425302,30.406 -97.851,17:12:47,2017-04-05,30.406,-97.851
277,277,1779,1425842,30.432 -97.745,19:34:50,2017-04-05,30.432,-97.745
